Id_Texto,id-msg,texto-proposto
1338,1575,"Durante a gestação, alguns bebês são superagitados; outros, bem calminhos. Cada um tem seu ritmo, mas bebê que para de mexer preocupa. Procure o médico."
1366,1631,É a sua vida e a do seu bebê que estão em jogo... Reflita e tome decisões conscientes sobre o parto. Procure evitar cesariana.
1042,690,"É hora de avaliar os gastos e planejar as finanças para receber o bebê, mantendo o equilíbrio financeiro. A família toda deve colaborar."
1144,1099,"Enquanto seu bebê tiver peso abaixo de 20 kg, deve viajar de avião no bebê-conforto ou cadeirinha."
1081,842,Escolha bem o lugar para colocar a banheira: não pode ser escorregadio e precisa aguentar o peso da água mais o peso da criança.
1129,1042,Evite o uso de produtos de limpeza com cheiro forte. Eles podem fazer mal para você e para seu bebê.
1212,1296,"Fortalecer o períneo é importante para todas as grávidas, mesmo para aquelas que, por conta de emergência, necessitarem passar por cesária."
1185,1240,"Grávida que contrata plano de saúde não tem direito ao parto, mas consegue fazer vários exames após 180 dias de carência. Pode ser vantajoso. "
1203,1279,Há algum exagero nos filmes que mostram correrias no dia do parto. O trabalho de parto pode começar 15 dias antes e levar até 8 horas na reta final.
1204,1281,"Inchaço repentino, principalmente no rosto e nas mãos, pode ser sinal de aumento da pressão arterial. Não perca tempo, procure o médico."
969,1526,"Já parou pra pensar que, graças à herança genética, seu filho é único no mundo? Valorize isso!"
1167,1180,"Leve para a maternidade camisolas, chinelo, cinta, absorventes, itens de higiene, calcinhas confortáveis e roupa larga para a saída."
1351,1602,"Limpeza doméstica não é problema na gestação. Evite apenas esforços abusivos e produtos de limpeza com cheiro muito forte, que podem lhe fazer mal. "
1336,1571,Manchas na pele podem aparecer ou se intensificar na gravidez. Proteção total contra o sol é o melhor jeito de prevenir ou amenizar o problema.
1408,1718,"Más-formações que afetem o cérebro podem comprometer até a capacidade de distinguir o certo do errado. Proteja o seu bebê, fazendo um bom pré-natal. "
1337,1574,"Medo de dor na hora de amamentar? O mais importante é saber a técnica certa, mas preparar os seios também ajuda a evitar as dolorosas rachaduras."
1190,1252,"Monte um guarda-roupa básico que sirva a várias ocasiões: calças de malha, saia longa, vestidos e blusas soltas. Complete com acessórios."
1378,1655,"Muitas dicas e palpites são baseados em costumes e crenças antigas, algumas desaconselhadas pela ciência. Na dúvida, procure um médico."
1336,1572,"Na gravidez a pele fica mais bonita, mas também podem surgir manchas e estrias. Proteção solar e hidratação ajudam a manter a saúde e beleza da pele."
1379,1657,"Na hora da amamentação, é normal que você e o bebê não se acertem logo de cara. Tenha paciência e peça orientação e ajuda ainda na maternidade."
1167,1179,"Na maternidade o bebê precisa de 9 mudas de roupa completas, incluindo macacões, 3 pares de meias, 3 mantas e um pacote de fraldas"
1142,1092,"Nada de carregar o bebê no colo dentro do carro! Desde a saída da maternidade, o certo é usar a cadeirinha, instalada de costas para o motorista."
1251,1375,"Não dê atenção aos partos de novela com cenas dramáticas e gritos.  Na vida real, o parto é bem mais tranquilo -- mas não menos emocionante!"
1400,1697,"Não deixe que a falta de dinheiro a impeça de se alimentar bem e fazer exames. Busque apoio do governo, família e amigos; é para o bem de seu bebê."
1042,688,Não espere o bebê nascer para falar sobre dinheiro com sua família. Converse sobre prioridades e planeje seus gastos e investimentos.
1347,1593,Não tenha dúvidas: trabalho de parto que começa antes da 37ª semana é emergência e exige atendimento médico imediato.
1350,1599,Nem sempre mancha de sangue na calcinha tem origem vaginal ou uterina. Pode ser hemorroida. Fique tranquila e tire a dúvida com seu médico.
1350,1600,"Nem todo sangramento é sinal de problemas com a gravidez. Mas é sempre um bom motivo para procurar um médico, que lhe dirá o que fazer."
981,1511,"Nem tudo são flores após o parto. Busque apoio para lidar com ansiedade, dúvidas ou insegurança em relação ao futuro. "
1209,1290,"No ""plano de parto"" você dá a sua opinião sobre procedimentos do parto e suas escolhas. Por escrito ou conversando com o médico, você deve ser ouvida."
1084,860,No primeiro ano de vida o cérebro dobra de tamanho. Um ambiente estimulante e afetivo favorece esse desenvolvimento. O benefício é para a vida inteira.
1078,824,"Nunca posicione a cômoda com o trocar perto de janelas, para evitar risco de quedas."
1254,1381,"O bebê chega mudando toda a família. É fundamental você procurar cultivar, nesse momento, relacionamentos positivos com irmãos, tios, avós e enteados."
1029,622,O feto é capaz de ouvir os batimentos cardíacos da mãe e reconhecer vozes desde a sexta semana de gestação.
1352,1603,O hipotiroidismo da gestante pode prejudicar o bebê. O exame da doença é um dos primeiros do pré-natal e o tratamento não tem contraindicações.
1195,1262,"O obstetra será seu parceiro durante todo o pré-natal, parto e pós-parto. Tem que ser alguém de sua confiança e que responda todas as suas perguntas."
1248,1369,O parto normal é mais seguro para você e para o bebê na grande maioria dos casos. Deixe bem claro ao seu médico que você não quer cesárea sem motivo.
1394,1685,O primeiro passo para adotar um filho é  procurar a Vara da Infância e da Juventude mais perto de casa.
971,1524,"O primeiro trimestre de gravidez é fundamental para a formação do cérebro do bebê. Não use fumo, álcool  e nem remédio sem prescrição médica."
1168,1182,O Senado aprovou a ampliação da licença-maternidade para 180 dias. E algumas empresas já estão concedendo esse período; confira no RH de sua empresa.
1339,1577,"Os famosos desejos não são bem explicados pela ciência, mas podem se manifestar de vez em quando. Curta seus desejos com  tranquilidade"
1139,1081,Os principais agressores de crianças de até 14 anos são os próprios pais. Cultive a paz em sua casa e denuncie maus-tratos pelo Disk 100.
1197,1266,"Peça ao seu médico para fazer um ultrassom morfológico. Mais detalhado, ele permite detectar más-formações precocemente. E pode ser feito pelo SUS.  "
1370,1639,"Pegue leve no último trimestre da gravidez para prevenir dores e cansaço, muito comuns nessa fase."
1177,1210,Pense no clima de sua cidade antes de montar o enxoval do bebê e evite itens desnecessários.  O bebê sente calor no calor e frio no frio.
1179,1218,"Planeje antes o trajeto de ida e volta da maternidade, no meio de transporte que a família vai usar, e veja rotas alternativas."
1185,1239,Procure seu plano de saúde o quanto antes para ver se o parto (inclusive o prematuro) está coberto e se bebê também terá direito à assistência.
1046,702,"Proteja o futuro de seu bebê, usando os recursos naturais com sabedoria. Evite comprar tudo novo, compartilhe o que já existe."
1101,928,"Qualquer tipo de droga pode prejudicar o desenvolvimento de seu bebê. Isso inclui cigarro, álcool e mesmo alguns remédios. Siga as orientações médicas. "
1164,1170,"Quando calcular o custo da creche, inclua mensalidade, taxa de material, uniforme, transporte escolar e alimentação."
1044,696,"Quando você cuida da sua saúde, está cuidando também da saúde que o seu filho terá durante a vida inteira."
1404,1706,"Saiba que medidas de proteção do bebê, como a cadeirinha do automóvel e o berço seguro precisam ser pensados bem antes dele nascer."
1408,1719,"Saúde física, mental e emocional estão estreitamente ligadas. Alimente-se bem, faça um bom pré-natal e procure não se estressar durante a gravidez."
1165,1172,"Se não dá para pagar um ensaio fotográfico de sua gravidez, peça a um amigo ou parente que saiba fotografar. "
1162,1165,"Se o orçamento está apertado para custear o bebê numa creche, pergunte a avós ou outros parentes se podem ajudar a cuidar dele"
1184,1237,"Se o pai tem plano de saúde obstétrico e a mulher é sua dependente, ela tem direito ao parto. E o bebê pode ficar como dependente logo ao nascer."
1163,1168,"Se sobrarem faltas de tamanhos que não servem mais ao seu bebê, tente trocar em uma farmácia ou com outras pais."
982,1510,"Se vai comer fora, é bom estar atenta à higiene do local. Na dúvida, resista à tentação e desista da escolha para prevenir doenças e intoxicações."
1168,1185,"Se você está desempregada, mas ainda tem a cobertura da Previdência, pode pedir salário-maternidade por 120 dias. Informe-se."
967,1529,"Se você está sofrendo com azia, fracione as refeições e coma pouco de cada vez. Vai melhorar muito!"
1165,1171,"Se você não quer ou não pode pagar um curso de cuidados com o bebê, peça orientação na maternidade e converse com outros pais."
1340,1579,"Se você sente dores na barriga frequentemente, procure seu médico para ver se está tudo bem. Prevenção nunca é demais."
1168,1184,"Se você tem um emprego formal como doméstica, pode pedir a licença-maternidade de 120 dias, com o salário pago pelo governo."
1102,933,"Se você tem um filho mais velho, dê-lhe atenção, carinho e supervisão atenta o tempo todo quando o irmãozinho chegar."
981,1512,"Sentir-se incapaz, ansiosa e até triste após a chegada do bebê é comum. Mas quando o sofrimento não passa, pode ser depressão pós-parto. Fique atenta!"
1206,1284,"Seu bebê compartilha de seus sentimentos, sensações e pensamentos. O que acontece a você influencia no desenvolvimento de seu bebê. Cuide-se bem!"
969,1527,Seu bebê está se desenvolvendo rápido! Na quinta semana de gestação mais de um milhão de células estão sendo formadas por minuto.
1129,1043,"Seu olfato está mais sensível agora, a fim de preservar a sua saúde e a de seu bebê. Se sentir um cheiro estranho em algum produto, fique longe dele! "
1172,1196,"Seu plano de saúde tem de cobrir os testes do Pezinho, da Orelhinha e do Olhinho na rede privada."
1023,602,Sua gestação será muito melhor adotando estilo de vida saudável. Procure orientação com seu médico sobre atividades físicas seguras para esse período.
1405,1709,Todas as crianças devem viajar no banco traseiro até os dez anos de idade.
1375,1648,Um ambiente estressante pode prejudicar o desenvolvimento cerebral do bebê. Procure evitar lugares ou situações que a deixem nervosa.
1391,1678,"Um bebê novo em casa exige esforço e atenção de toda a família, mas o cuidado com as demais rotinas e pessoas não devem ser esquecidas. "
1363,1625,Uma companhia com experiência e jogo de cintura pode fazer muita diferença no trabalho de parto. Essa é a função das doulas.
1037,658,Uma família sem dívidas recebe o bebê com mais tranquilidade. Procure saldar as suas antes do nascimento.
1031,629,Uma forma inteligente para fazer economia e evitar desperdícios com acessórios e carrinhos de bebê é pedir emprestado a parentes ou  amigos.
1139,1082,"Usar o bebê-conforto e a cadeirinha, desde que o bebê nasce, mostra que você ama seu bebê e cuida dele com muito carinho."
1168,1187,"Use as filas preferenciais de bancos, supermercados e lojas, mesmo que a barriga ainda não esteja aparecendo. Garanta seu bem-estar e o de seu bebê."
1162,1164,"Visite várias creches e se informe sobre mensalidades, taxas extras, horários de funcionamento e férias escolares."
1367,1632,"Você está entrando em uma fase cheia de novidades: no segundo trimestre, o bebê começa a chutar e já dá para descobrir o sexo."
1351,1601,Você não precisa deixar as tarefas domésticas de lado por causa da gravidez.  Mas não se esforce demais.
1074,801,"Você pode trabalhar, desde que se sinta bem. Mas, nada de excessos! Evite fazer horas-extras ou longas viagens."
1377,1652,Você sabia que pode ser dispensada do trabalho para fazer os exames do pré-natal? Procure saber como no setor de pessoal da empresa.
983,1509,"Você tem dúvidas sobre a gestação e o parto? Não sabe se é normal o que acontece com você? Não deixe as dúvidas em casa, leve-as à consulta no pré-natal!"
1213,1298,"Você tem ficado sonolenta durante o dia? Pode ser cansaço, mas quase sempre essa sonolência indica noites maldormidas. "
